hash,buyer,seller 
5tgnprUhGcyjg9UCD8e9P1i5Dufh2uV1ds7PmFTgNSLphweitgxXgyLhrBZmQwaY81emAzvYdb19tH3C1kw8QR5t,2o33UGiCbYzePkkDMhGcAyrEAJX2yHtfKufWCBYWepcq,CuysiYwbDMoA6sakzUaVxLvYJYgkZQMSdMdoTwNmUAGP,2.7
5299RG366Q1E1xkRrBuFaJjMSsozj9EVmM6KvR14mQ4EpzL7yEpk6vzXPcfcAcsrX4n31HjgxpWQMDfuoFVmqWfJ,CuysiYwbDMoA6sakzUaVxLvYJYgkZQMSdMdoTwNmUAGP,D8KUmwMJwEanQE5vFHRQCSgFbXuHQa4ZoyYVT4fc2j8n,1.11
4V1FgPd4VwvK8kJ9g255JzXbuzadja36EM1Y4i6X89pEQQcuGjvaS7Ghr2b136SSwC3PWrczAHyVxVdweY6PdMbk,HbDbSesTNHi7m4yhK5L8r9ydNzHawrjpy9MopkLyi3BE,GWUQjeYehUYCq58hHuZ31KAM1nvX5zVYH9sWuhyHAx5k,3.28
4go6v6cZcDAvx8k4ep6ZnYu5FEdYYawshsc6kxKHi36T81hiSDcey1sjXmAoMcBDu5LKpJvtQmGT2VNUkmXyW9tS,GWUQjeYehUYCq58hHuZ31KAM1nvX5zVYH9sWuhyHAx5k,7CbztgK7WGwNPhbRVVZT25mGynxTo9jNX1VtTy6dJRQR,2.9
JJNjPTzYv7XgjPG3UbKCLii52wzyLT22F94iGNWiSYbWuWiGxHrzYNxeVhS9wyny2dHsCUirPLSp3P7NTqP1od9,7CbztgK7WGwNPhbRVVZT25mGynxTo9jNX1VtTy6dJRQR,D8KUmwMJwEanQE5vFHRQCSgFbXuHQa4ZoyYVT4fc2j8n,1.11
3feDBEYd53mXSgDQ6yHMWrLyN9rGZLYkph9N9AmVb5ZU7npQUyPzAPKh1bTqHdNnfKypnMPYzqSEQPYiMymev6dD,8nNRxiDkaZPpVsGKM3RTD6PrSgcXqVstmfZ14qCRkUyK,HrSWtsPxtWGwXjHi4jHewnWQTMRHq3HBnUvdLJU3Hqsu,3.9
vMCYnTYzBpYTFE4baYbSUhbh7hJ7QGDu4ge5miGHjJDdi8zBJZSdBpSdsnTDFPsv9W6kmeQxvxCu8y4qJUBoyKk,HrSWtsPxtWGwXjHi4jHewnWQTMRHq3HBnUvdLJU3Hqsu,D8KUmwMJwEanQE5vFHRQCSgFbXuHQa4ZoyYVT4fc2j8n,1.11
2cQUsJW5BNAcKoREYEPF2dUDPWByXwka5Mj72So2GtVoNZN9z9Q6AfaYCJ6BB5EAvZjT9En9pTP7t55LmbZuT7e6,AdMypCxkngPMVH2SsXoEyqMsk4uRkscEfprV9bVZKSEi,DRVNhiTBqoNbzfTqaqPpiZiBwyYrjrT98vV6tVjfVN59,2.33
3Up31hQEo7KTA8GfP4FWAbn3pu2PVbZDyBEzVNzRzq2jmSY5P8ZtNkHqU6u8dMu5TmS3jSdwqY5t761YuHSfwtZg,DRVNhiTBqoNbzfTqaqPpiZiBwyYrjrT98vV6tVjfVN59,D8KUmwMJwEanQE5vFHRQCSgFbXuHQa4ZoyYVT4fc2j8n,1.11
3qwzs3hat3gTJq5h4bRYSvJFbqHqaSsaJGVx3KDAGZoZh8GDZi5xqsyZa7tCzDwzk4Sdv4ckQUyLpChP2VY85ao1,3C4wsb7rf2UqqGYHqtdDDsjzcffnrE1a7QaQuYHyY1mv,2EvFaj53iALdHrGyDwT7dUVmDyewULhKnacjvDqVaGJ1,2.2
2UpUmw1yGzdqFV9XFUXicx6QRvJQPqjcfYPtNpVnrq4dHTiYnkdnPkLziL9ft1F9dmngS3aKod4Hm2Vmx8MeWP2Z,6mAHycMybcZpQHWTaoXukJ6Zk8qfiZu3roZGp582wpNW,EgzL2YyJFVr3iwWy87AT9JPjem1jytX8r9Xa2Hq4fuz5,2.3
5hoRk7iUj3MnRNJ8BPqtadkAUJbnYTygxKip5tX547aHbPEuzPqP6dMgpYB6XDLKcQEhmhXAxVkkwmG86HUwSpyS,EgzL2YyJFVr3iwWy87AT9JPjem1jytX8r9Xa2Hq4fuz5,D8KUmwMJwEanQE5vFHRQCSgFbXuHQa4ZoyYVT4fc2j8n,1.11
3bRJmPi3x85zbZPYhdjoxkCeVgPiSECGhsaPKByHVBKYwpFxPAs3XEv9aBKWE52TWuj27cDBakKZ6tnqgirurj9C,GhBxpfzVZtagoKMrLGGgrJ9fYpnf1CNtbEhRtBkqMKP4,CuysiYwbDMoA6sakzUaVxLvYJYgkZQMSdMdoTwNmUAGP,3.2
66XiD372mUVxA7Ahc7wK4HXnuWzaqEizRUopy85AgWvx4t2sDBzusknMpnXJLaY32sZgF6PqmRXeSYEEanGH91Cj,CuysiYwbDMoA6sakzUaVxLvYJYgkZQMSdMdoTwNmUAGP,D8KUmwMJwEanQE5vFHRQCSgFbXuHQa4ZoyYVT4fc2j8n,1.11
4kFSCGrA3Q6YELL15KaXtTvfS2LjxYrzgCEiEDCSNCEi4sKp76eVLtg6LWgNbwLXXLSJvLDCSfLpNP2hFJysKVuc,HJ35DB7wcShJ53imY7jQgPEkfPa1zGtXAYJ2pQdYbJy2,2oj27KDSduWDRWFFiuHJg56ZsKp9s7RjeEFM7VSDZm4C,3.5
2rqgEFQPC7gwz5xyPwjMgtXM38zh9c9gZuSdGkh6Rvviy2XZkdoNcvCsvoicfnbxsASvtvbwgpVuFURtfqtqCHYe,2oj27KDSduWDRWFFiuHJg56ZsKp9s7RjeEFM7VSDZm4C,D8KUmwMJwEanQE5vFHRQCSgFbXuHQa4ZoyYVT4fc2j8n,1.11
4rT67nyqgy9KfpxwPwXkpQgor1cniRbJKEi3pWtSmNK3KHsryPUGxhvf8dARicezv2yRHYnRr8zDfYHFNoWN7Cr9,9ZHeHdy9YhF2nMR3gsQWEhZ8qpfxdGgcMXSxm7bQJRX4,D8KUmwMJwEanQE5vFHRQCSgFbXuHQa4ZoyYVT4fc2j8n,1.11
2Vq9V59AiS4jvkcmcZjnxciUJgAXwepimeGV6PQpAskG5CmihDcHtWDw7UUDfNLzoap4jzZXByUU58PmAcUowkog,8CRUR625XrsdBf2snK6sUkXDtJ2HrYfmUP9imyDCrD1K,HrSWtsPxtWGwXjHi4jHewnWQTMRHq3HBnUvdLJU3Hqsu,2.3
W5MvuY5NbQ1eZFRRxGZPbpnPbbJhaMVssPVvvidyUeYz8GkmSAFgtURTND4urqN6mes2RFUQ8fwvDkAtzpxHMYi,HrSWtsPxtWGwXjHi4jHewnWQTMRHq3HBnUvdLJU3Hqsu,D8KUmwMJwEanQE5vFHRQCSgFbXuHQa4ZoyYVT4fc2j8n,1.11
5eLLS8NxLwrqPjKVft9dEEBnGHBjaKKz2S4E1zsh8KHKNLCFBWf2LmNw7wxZxiJ7H5VubcTFjUGYPNqhPddj1LUQ,BMe8aEqc1nN5ZNCgrPsAtFZ3GR23R1qk1rUcSMB6BFm1,5YCyB6wPhHHzJs5xfThMAFsw3z7DLCJXgJBirKHHYxv8,1.6
RyHjayzghXNXHj8bjL4L5zpPXJDniDg1cTh8xCeB7owce3DUWc7AxLhBy6iAdfBZDDW59hHbBHW76k6caVAuBjg,5YCyB6wPhHHzJs5xfThMAFsw3z7DLCJXgJBirKHHYxv8,8Dwi8sfckhWVBDBFiSvgf8ji8B6ipkExb3ZbsHSXwu5b,3.5
271G339khtPVpoHD4f4YRcKCgFdyshLy65RPVUoXELXZvLh5g36j8ZXaynR3h4nZr8reai9VZkU7Y9WWHBXqnb5D,8Dwi8sfckhWVBDBFiSvgf8ji8B6ipkExb3ZbsHSXwu5b,CuysiYwbDMoA6sakzUaVxLvYJYgkZQMSdMdoTwNmUAGP,2.5
65SePqMdRZp6RjJ6H2JGhqyovnAxEg8u7JwxrbMsQ3MFtz98t7cHdCmHsxr7S6Wz87TsdGsjZGq1jWo9H2JMQT3x,CuysiYwbDMoA6sakzUaVxLvYJYgkZQMSdMdoTwNmUAGP,D8KUmwMJwEanQE5vFHRQCSgFbXuHQa4ZoyYVT4fc2j8n,1.11
2YhTHdWToDUgMh58pEteNNrRzoQUZqQJRt3mRWnujjTe2ToJ6N7KQN3b7ubyGhR4BXA8EDUEcH1TgvfWZoa8PVr6,8eUdxUZGdH8nQy5241UeYDdP7Dvoqz4UFioCdEtJxnvp,D8KUmwMJwEanQE5vFHRQCSgFbXuHQa4ZoyYVT4fc2j8n,1.11
3xhUhkUijjVEEWn7GyBGEqkyQuyZdVrkVSBAuwz1SD7eXcesCFo9DwixA2Xb2TUYCD6KVberCypK9fiaZ1XHBFpM,9xD7mwJEWHzzL2GBpGV7NiKwDyuBwKGKKo7L6GU3J7QD,HRUnf8wXELXkk3RVkE6ZuV4UvcCSu39sZthhdtRTHXVg,2.1
4RDu2XpbNZAvs4Us9DHoTRUYQ4V1c6NTPmQhSoj2MmiTpvxt4FSJ4LKKAW7HmaFhc5LSBsuVjU3tkJXptXgrdnf6,9mx8VX3D3VtZm5bpkVSqtihLtuUArKy64NwisfC9ks18,D8KUmwMJwEanQE5vFHRQCSgFbXuHQa4ZoyYVT4fc2j8n,1.11
4GfssbwfHyTkJoBs256yGdAjTE7YekAZ4gE6HPzuVk49ukaDmMsoJT7wxPLhNP7e2YPtQNgn2RvTzDCopfWcaJKU,6p5FRc2PQ95pAqk16BsTQcygUQvQB4kKXi8Wn5KtBQun,D8KUmwMJwEanQE5vFHRQCSgFbXuHQa4ZoyYVT4fc2j8n,1.11
2WNVNthZTiDbsMaQMUx1Z4Ve6otimzZT9kh9C1wKoqf5y2rsQsKKHRjxiSpvjCvPbNJKbzLcL4PZCsXCU4MGmUje,EsZtWXD8GSXmf6Q8HQgH2YFXWiNeU1Gr2VWrejLNpkUH,D8KUmwMJwEanQE5vFHRQCSgFbXuHQa4ZoyYVT4fc2j8n,1.11
5hDymv8zJeAr4iqXnDvPjZbuqcwqxTu9sxD7R579kUcuUMkzt6VMPGkyQ7u5uPGSmpse9BXZ9Pr7EsoGtLRoPLNC,FiF68Zh7kiyH9jySvBDQdLxgUvwbTefp3b77LoLcyvPM,Ep4p1DGZNEoezJdojY2eSUCfsjDb38LmdACpGNSfdoSr,2.65
5xQrS7hSd4cVNinwbRfYB7bZ9E1WoxfmqCN4f7hFwjhjD7pDcvJr2dGRZydbVwAk3Y7XZuqcxynPNJr4yAiKjzeG,Ep4p1DGZNEoezJdojY2eSUCfsjDb38LmdACpGNSfdoSr,9r4pkvthSgZ54dTxuyPxcJdDZM16PKuFUpEYe4YAE1JV,3.59
2JGMnF9fy2yigdTnsq5AUySmZXGE7i4qZ3WrcEGxdmqhiVp943xbMtiUmmpuE4mSvhBoxceMsitVr5hKRpSDXiig,9r4pkvthSgZ54dTxuyPxcJdDZM16PKuFUpEYe4YAE1JV,D8KUmwMJwEanQE5vFHRQCSgFbXuHQa4ZoyYVT4fc2j8n,1.11
bhPY3SmmdKwkMkBbrgVc6jRmzU64FpbxfsP1sByqP55KCExkRgB5VRBEuqh8WZ6psstNXQmn9Hmi8df7MBdogDk,GhXLGfFPPdM6DuPfWx94uEu9ZsZ7yuBVFPHcdPUumJtZ,GMxLrT68rtxxoGEiSGYTFb5qubZ9vj7iZmMdfN6Lb2YM,2.4
4SovsanaiJw1ggSXDftQvc9GS53Vobe3d3RTQnz7stB92HiHpj5NFH69xiSMmDekK4JQUPAWhzCtSFmw4MuAUYXX,9mx8VX3D3VtZm5bpkVSqtihLtuUArKy64NwisfC9ks18,D8KUmwMJwEanQE5vFHRQCSgFbXuHQa4ZoyYVT4fc2j8n,1.11
5SPH1HY6ykur5Buzq7weqmGPqFFFuh2nqiLaz6VneGAxi5Rz6pZTmfXRLuA88CYwZFFqUGbN1nztKQ4G8QpaeVMJ,3C4wsb7rf2UqqGYHqtdDDsjzcffnrE1a7QaQuYHyY1mv,9ZbCGoSuX67CqekvuppZDJtV1iZ2U9Nk9CDPadX9KTD6,2.4
5r4zpz3ZwrMeFrEJNaYYZXfUqNt9gXJV8DrW8hQk2mMEJUgQssBmeeLQPFvkMdZK5SBMZmibGVnbqsZsvs7K7xeY,9ZbCGoSuX67CqekvuppZDJtV1iZ2U9Nk9CDPadX9KTD6,HrSWtsPxtWGwXjHi4jHewnWQTMRHq3HBnUvdLJU3Hqsu,2.25
3ydf6KK3ccSDz6ST6D3SQMrBdBGB1NpmXFb6utFAnb835UkZkf6jGykwGBuwriTfskhH6kk5HZXWooWzYMAYJtPm,HrSWtsPxtWGwXjHi4jHewnWQTMRHq3HBnUvdLJU3Hqsu,D8KUmwMJwEanQE5vFHRQCSgFbXuHQa4ZoyYVT4fc2j8n,1.11
3PMNg3Z91dFRNZPm9anZy3nV2KWMhaeSWbK4AQapKzWsMYjeQQgGmHSq13VyYmyBGSBXDUuVGSx2whDXaZ1gPBQC,9ZHeHdy9YhF2nMR3gsQWEhZ8qpfxdGgcMXSxm7bQJRX4,D8KUmwMJwEanQE5vFHRQCSgFbXuHQa4ZoyYVT4fc2j8n,1.11
2Egr5oYvbquPNModrXjyLvEAqnxfVGeNUbsppY54yWGe6T2dM5dxzLnntAk1ynxu9TyPTXEqqDidXZ4t3YMtExyg,gkxdMmbYP5FPrxZ8GwzeNtU7bx4mR2HKiA4WGJAgx6b,BEGzQhvgCUojy5DMfgDd6ZA3hSzzJnNV9oPSe3C1EKw6,2.799
346wNbeP9ePnv4xgBF5ijMVt3HuygZBycWnAuTemc1UPDVww7DtAGermjTMp4difrge9mwdNosQ7LsuAdmJEeXGk,BEGzQhvgCUojy5DMfgDd6ZA3hSzzJnNV9oPSe3C1EKw6,D8KUmwMJwEanQE5vFHRQCSgFbXuHQa4ZoyYVT4fc2j8n,1.11
ZVZybXx9pjoo8v5WaTMGVcqdGfjMYVSHLWbyivJr5WgP4c8syEvQESAsAkTW2J4xNUiN143numeUmquCFscj2kc,7VbuS5ScreWAA7rnDYZLygGnoUsLLxTo1a6iAb18xehg,6vYzJHsPEtUczVAjPgyi1Aaa3QQExgEDT7j4yQ8TmYXK,4
433pEhCsXpUz4Cj2y87xEPgxPxWDnZsqN7rVhcU66BJPcqFmShtPDNYMatYhj2ffvxp4jzL3RP4BcFA56M54ezPA,6vYzJHsPEtUczVAjPgyi1Aaa3QQExgEDT7j4yQ8TmYXK,D8KUmwMJwEanQE5vFHRQCSgFbXuHQa4ZoyYVT4fc2j8n,1.11
5uo7zoVMn1zFm9tJgwUz5m6NGY4rRh6HyGLPE1ZqrosENn1ZFHtwokuExkGmTfXGLSP4j9jd6bu7UBq3gqFQq6cx,9ZHeHdy9YhF2nMR3gsQWEhZ8qpfxdGgcMXSxm7bQJRX4,D8KUmwMJwEanQE5vFHRQCSgFbXuHQa4ZoyYVT4fc2j8n,1.11
2Aj42SY2VHeW8U2bByFKrrtpRCnfvLLhH5KjyCSzmpFyPMVPaLZ3CUE3sw4qeMgkAGPMp58Lmksht12qkJd9E7LN,4ckmTZWBw9VLexCnt9SJhbgrXuVqHtqTP5ftxQYRz3Zf,98kx6TDnLtnTeu9gRVLb2a1LjKHCQ9HQLGNEqXMofCEr,2.99
R4aj4WofDd89nykpzgRmPBqS4kfLrs3KDJ9Dr37BLUzvQMsyJPU5Djbv4mAsNrS8smFrUioZ4LCiMumgibyXkHp,98kx6TDnLtnTeu9gRVLb2a1LjKHCQ9HQLGNEqXMofCEr,8Dwi8sfckhWVBDBFiSvgf8ji8B6ipkExb3ZbsHSXwu5b,3.4
