hash,buyer,seller 
BMKRPx6HZEUKJr1RhCgHpW4kgxzfzjSqMBopMv9cAMHzHsWTuuLgKHS88WyJARmDyARekggYndEtUJG1eLpFcSs,7NFSiwH1aicBVKDSiCopaaJFmNRyhWQR8K6oLfuFWiA8,D6egji2RbkmdjzLgSs8ucH1cZbP7jf29yGakoWMaHbhj,1.3
2weHSppHGLYiZry2DTCWStrQaRYLzpvshfmfkNMf61maqzgZ3s4QBPk2q83vgNPHKKUjvQeBmkV8Kr67TQd4CGSX,9aPaGSWx1wz3zW6rmDPgddmd2ovhY9Xjrddj7hox3AR2,HmUxHzDPPYKiF4w2kyAMLypGvUXiPa7TnR6s3uXH9ojj,1.36
4i9dnZHDeehLzusCEgdsa2c8Cq4nHBnZ2bF2q7P4Pjj193YGB7Sm2C2c6yifyAC5Tj1TVFPPWFW3QJcwLxuPuAaD,DR7HJ37ZCm2bQDYSATbmaXAVttVgiDDpmh7J1UddnKaC,6gduL7WZ7vNUF6rbfc2wBNL7ec8ZyZXnaQhUGkBcYaoz,1.7
2BUkQcrh3yjVPAYdXVW3zNYZFP18dkRNU9KDsPWmymCR8hGHVofhNVtrxeibaoxrsmK4chy3ByK6vLwvEQ1TjK1A,9dLvgtwXWcm4dZSPSPXYhPhC7kBYsE8ueg12sZHpcMyv,3ZUYeUcUfof9eiMKgLLPFMhPYnU53pgkrTHER29sfcKD,1.68
5Jn7oFfkDpLmyeDtBDZvyf9fpuRBp7XDGoBYD9bs2pMN5B8y41P6TT8Hj9djwj3qpjqVnXsVuDAHL5emZ9UEWAsy,i2y9bPinA35JnVsJBFki6thcNwJqV9JjKDcXTHspEb4,6B1oME2robxD35xNoaHtFmMdmV2sNBXEUPcBtq6yPEf6,1.85
3xcSwMwFKWVAgWanfNc7xW8TqAecVkHM1NfX7xvbNoD7DZtX4MzSztGuQuhbyLTd3q5fcXjkLm44x3fHdRjbwA9d,8w2vg5jvqwEtCvoZ3Cr2ucxdkn3LWC4nGF4ZT4kKyWVZ,xNu1LdssaL5KNTphgUd6KU6v5nmHET5KaPzQxsESEQK,1.87
3m8AAu9kGebgVanqAEnaCvEWmetci3thLinDWHZceyLB22iyzuyaouJVpz3saLozFFSMp9BbwV6fmNj2pjv1z75y,E2u8sSVfPUffsra49NosAiKe877o7bjmtzgLcY4rJVnN,7sUw5q6J1P4SLAuArhQRA7RVWQApUy37vQjEiL9xa5P8,1.2
ba5VGNRk5eptB5VqpWjiVAsDgti56vjuyEcUvuiPM49q3xWEZfpEEji8oPXXWs9AnJLGg9zmacu8ALnNQQyXieK,5nLSLKYz1nVuAFQpVGbYfw3m1sgaLgTjg1qYxudWP5T8,F3AmUMFQNwBPxPPfXZcaoCtZh4xvSVwifdcL9A34DAcN,1.62
46HbY4ZrtchtPkcgm9zuvVYB7o1ndN7t6LsuCDg5oSfKkEHYq58MDHCPwioAmK7ovXsaDoPUPDx9ASdwgLpC8iyq,F3AmUMFQNwBPxPPfXZcaoCtZh4xvSVwifdcL9A34DAcN,B4mUUMiM6o82NjLzHXw5yQYdByJZgyaJcTMc8krLSRB8,1.41
34PUEkwd8fSXEXU6U8dyG77EgXLDe8oAwKEEpDbTRpig4WaYb8GTuXo5VyuMXEsWnNJRnnuDWfE4kMwFY7xjRnqF,H7G6jdWDXhGfyQanrc9gCRZwHk6j1WegEP6UY9pfNjqw,7FxzUTb1mE8c8t5X9Ls3RY51zbCF9LUC2JjyZ24L5HFQ,1.7
3wBE9xqvs3TAdDetpJ8tZMjthTZJ18WzjFDuh7JkvyRrsPtxwz9ard7N9tSWGKNTbnyEMQdhhYHp5NbMkkYgbUSo,6sfazCtPodCA9LNaf3EgSq4Tou1rdbL8LkAnXvCTQXkY,J7kMAZMF83hp9WDxQk9jYeWDnkaG6TAdMPoSgojyvw2J,1.9
mCueYrVUsrv5recVoXawq9DPC93KEZo8FuZY1mxkvYQYV5jxpp8DHu5LzToMnbVLWBHsbxo1aGw9oaPFifuEu2r,6pD4Z9pF6MdMmmZyJpF3KwHpNvvAidoV7rvuyrDXJmf4,5UZnHzWV2U47rourHxKxmFM38j6c1GLMyy4z1vSstBsH,1.84
2ELwVKW9xwXrxag1kcqEweG77YUSdJAUXSoDcUbVU2noLWehHUeJv7tsFCU58k2c4j4tt6T5RHfurc63ZHxkP7y8,94AveiXj5w3mgHf1Vf5xQuuQoBxYnJatZeWwFcef5P7S,6D8h99cuZvezBJzAht54nEXVdtt6fZthTXMaZt6p75AC,1.89
3HLK3wTx5JQFQQ6esG2A5pkF2CTcnNyMYYgFJwTYaZ8cYG2eLZ3zqnUf6Egw2feSHmFGXCfcJpQZpT7raAtvhBBi,94AveiXj5w3mgHf1Vf5xQuuQoBxYnJatZeWwFcef5P7S,9o8jWdwFfxwaA2H6hMvE5sKLtAUNyMYHznWvYuKDkraE,1.88
5uzhQD7XGkAMbybJJY6ra7yZT5WKngSjassLvT1PrzjUG7vs2gzzzgZguLLugsqnLK7yx7dCDG2wCg6H8mJRSUjk,FY8npdc2As4nnb1cJvaeWy9Va8WcqajprqKmrcUG57Hj,4RQxcfUozzUndCqwjeoLLD8CPGPjscd9JhiA86QH8bNY,2.1
2SutDjwRRVBKvRcPSXKtxJGKuGJh81c9fTvJUMWeVj58a7wB7Qt22G19UV9hni3icVecjhxFpnrp5h8h348bUo1W,BpAkt9QKDHNwmwMxZUgBnPjoVTqK5seDn2hB8XQ8JiVX,3MWvYbe6izxMMfFqARYfCRoAZcX8EgtQvXeaWAjNQHGT,1.49
2oau1BNJquppguBxxSxEe8y4vyNXKMHHtVdNf3X6LGjVDNT7uR9RzH1SPCDbhNanpakyXmg2SAbL3zgdbkW66Soe,AFBKpbGCTYucq1Tm1T6Pq4GTvSodXuUqj7EMSQeYWfEr,BMe8aEqc1nN5ZNCgrPsAtFZ3GR23R1qk1rUcSMB6BFm1,1.48
