hash,buyer,seller 
8sBzVQCbcp92fTRzXDKFehSdQHUU4fMTpwMp9ZpsQBhJ8yNBrXQY9MMrFXQHJK23yx4jAsyTYJmi3kWfG6eGxtu,Fc1cJy2JzSVh86BpQbonQpNRFFw5Qi4UVyjxcQGnLAAM,HJMgEseEcTMYtehMP96P6kmVn5Rw4ZdBU8VEHnWoLmHu,0.98
VuEMHJYEoSdPqR65ThG8xpQfPMD3SMzJWXnpFYQ7w5D2ovvZbVfvwoAy1S7q9iAjXCFVDLLAuv3JPNeAvsReD5j,HJMgEseEcTMYtehMP96P6kmVn5Rw4ZdBU8VEHnWoLmHu,8yrorLkApsEDMvWgUziaUTeSHCGcMVLSkH1ZKY2S6pYB,1.5
3tpKsVVoJkpucaT16C8CVsNTp3JJsJXSfvM7nSCZg7UbbUZxfTdfwP9SttvoiVJkCYRe6FJ78vHrhBx5FmiabMYp,4BfPKdYx85qRUCKbzLNBvWP3GXTvFX5THBnEby2dv1yr,GGsm8gSJtoT4RVG8wWU26vCtWXVw3qr5is9SSbR7exwU,0.99
49JhkhNyoKiMLREctUTESGUSrS69BKuMoUNiYNBYVrzhetFQfAyNZsw5ApsoNRAeF19K4T6E1FJXBMpddLx8GvfG,8W4DQngsykmtbdU2HEwz5T11zYLH89hgYTUsmSJ63sGk,4KDN3fw8Qz7LUXLmyExp1ctcvPgMazjeuYdtuDfRcU8Y,1.45
43tcfzSVw9XAUv5jADJqjktVe9SBj7haDak39GZSRbrH4A5giSFnapdDUt5BfJX222zoC32cJcHNoRve7wYP72HH,4KDN3fw8Qz7LUXLmyExp1ctcvPgMazjeuYdtuDfRcU8Y,2oTkb9cHf4adv61XprBQKWCWsEZV83bTEBuARLr6Y9h9,0.7
2M7HD746NEj7V6ecgUMTtFLkCRrT1nZGLHLPT2ZccpiUgWmsLyTkDAvdVnYbi2KofsUraT89vLCGGh2zGbpLnTDF,2oTkb9cHf4adv61XprBQKWCWsEZV83bTEBuARLr6Y9h9,4S5a3AbQrZ5CjYG1ucKopuzYVFXVpG1mFjfn188C8mc6,1.85
nzrRKvPQ5DWmhWzcTNjSVeUNYqEMPVkf5cC84MUEKPF4JMeDBGMynDE1TrTHA8KkgrCqs9BhP5yxaGgZ7YQKnxS,BruUq2EcRUrcCBkjWs6Rcd8fEq72hzTR1xy4iZwx2TeD,6dGryLPj21kUpM6ByGDc4pyCPz3EGfaT89F8JXwQ5RmF,1.96204428
6vMav9kXMQhP1XBijR29TnGaLKoef6ExrbGNCA39F2nGA8eh8r5G67mzZR6QJm7JKCJBFdHp73BaMXv8AfmUW7V,Hpyp46YTiMrpTKyHtbaNFpWu7Mq1UhdEh8Tkw2SxxJnS,DVtPTMGQVnxoBgqMmh94aF76VDYMGuzrmXYTAaLjnqbt,1.16
b7wXoNqa4Zq26nFw6AamrVBNLDqAAUabhyJXbizomSw3gkM3SdN3KSW3P3S6kesFLEfY48B1ktLSN6gQNR51jvV,DVtPTMGQVnxoBgqMmh94aF76VDYMGuzrmXYTAaLjnqbt,3D1ZWAFZbNboJwwd5mNKH5jKmf1bhLvVMvd1QaHnf5dp,1.403833
wyELSR8Yq4aHB7bYezL2TUd5BpS5herPYWT36J2P1HBpcra63RQnvRaErkGBDBW3cZcRGHKzYENi5pqyuTqubyq,3D1ZWAFZbNboJwwd5mNKH5jKmf1bhLvVMvd1QaHnf5dp,5CL4T7qxpW5FTUn5eyrbDJdDvT5Zmk7JGTxd6s5jZsLU,1.69204428
XkSE1dB3cM1rUpF2UGCWVTRitKjagXBYa3rtJg8ykVQcSuWCXhf9nu1h777E5hYo7VCGwEfsdC6XLFhJNaDCC3v,5CL4T7qxpW5FTUn5eyrbDJdDvT5Zmk7JGTxd6s5jZsLU,6dGryLPj21kUpM6ByGDc4pyCPz3EGfaT89F8JXwQ5RmF,1.85204428
2TvhQHw4NxXGWnESwxFsHpT2dr4LhUBap7iBSPR4StRmJm8aUkz5piwGuqTNBDhFZFTQbHZFAG2XnPCS1nMRHoSX,7Lsgyq1PNHjmNsjLRSqAAxZYKUzL5BGB869bXaywX4us,EDAWrShwdZkAAMKH3AGzNzAVn1MLnUiQKfUYcgV1Gcxz,1.19
3JQwguzaXxYqmPiEJtK8qvqyB7bSuo6qQxnZLLYZ4nAmnoSSP9VuApig2oUgcZfAvQQ3h67Jn6XAZA4pJk1DaLYh,EDAWrShwdZkAAMKH3AGzNzAVn1MLnUiQKfUYcgV1Gcxz,G8eyoDUiwVuu8K26yaWrekjBNCYzZLy2RvcVUzsCvRTL,0.95
p63S5nyoux7Fos7wYFy56NWmpSit5PtC5RVaqzHVWz8WtyQdBXadZPCw9tWj6Sry2qrWKnouY4hMFjR2bc3FAWA,G8eyoDUiwVuu8K26yaWrekjBNCYzZLy2RvcVUzsCvRTL,Beri2qzL6vpgQHS5wNvRQVQW6TJLYW7qEhdfAtWZHFU,1.95
3vebL7V22KeTMkq3UM8wPEuXjzapyMbviGTVQP77TKoV5vuAgCVcXMBWo7MbBGWB3rU5pXqKSpUyKeEyAWJPbutR,7Lsgyq1PNHjmNsjLRSqAAxZYKUzL5BGB869bXaywX4us,9nSpDQyFnwFA16m11MtbDzspFxMXdnUFsgJnkqDEBRge,1.19
4hfRjLVfVjgsS7vgeDf9MiHTQq3tk8MbyKfoAmVgyshWdkaSMrLy2EmyMCGgV4eVQiobrPWTddiwig3cDGBeFxDS,9nSpDQyFnwFA16m11MtbDzspFxMXdnUFsgJnkqDEBRge,Beri2qzL6vpgQHS5wNvRQVQW6TJLYW7qEhdfAtWZHFU,1.70204428
33CedVLdPTJmpAgEKdkR9oPS49MfLBFMABghg7o5xFQBCxuEvdvnRvp5rsrnJC8pP7HAGrjo7eaFKuaK2NCRaNfo,DyDytELmy6A9PdQ8tSN39576ouF8Br7AXwD6VsdPbktH,9mfu7t9YirJaZNm76sKxG43Fmhb6zkeveLPpiabaoomf,0.97
iaN523KS3ecH6a259mUcKGAox7PmVQLtX4jsGhvm1krcWtEVjokPVS1mGW4YKo1af4XHD4EWkvfahTxasDjmt9B,9mfu7t9YirJaZNm76sKxG43Fmhb6zkeveLPpiabaoomf,CpAM8WjCVr8QrVCUHPt7YdirLR1yaptvTsr8esDf4wsD,1.125
2h6eLoSQqiBEW3nKoELZm68N98DfqmswY8pfTWGD1RhpJpZ3bLeA5oGhTWoUSDtb17r6vYvZ4bykR5zxFs1n5uX3,CpAM8WjCVr8QrVCUHPt7YdirLR1yaptvTsr8esDf4wsD,42WJNfhDtiAUev7wbbCuHagJg4eSMPHE2KMEyMhi4u5p,1.05
4FTQo84GyiqYQM1NXMat39tXTtS2e8opzHjZwJSxiaiR9zvStWTNQoB9thTWma59SYw4pqKi19DKkaeYD2M17AvP,42WJNfhDtiAUev7wbbCuHagJg4eSMPHE2KMEyMhi4u5p,BnUzt2ZaiWbrgXBb9mSRh5BUgyMrFuXXYMYoo37BRhHX,1.889
2VsZkEiiDc935V4dxXZrhbPwau67nMnguFekx2DnXAYtckBoJSMmykfWXNPNtgFVNDtJaESSTbsw1e8DYzpkg1ve,7Lsgyq1PNHjmNsjLRSqAAxZYKUzL5BGB869bXaywX4us,EDAWrShwdZkAAMKH3AGzNzAVn1MLnUiQKfUYcgV1Gcxz,1.24
5bzEX3XZGHftiGHUwbyz4sQjv4y7J9hYGAF92d8cLdbWUQ73t3hwpbihY1G81mEBHoP978HMw3X82prypaikmXbh,EDAWrShwdZkAAMKH3AGzNzAVn1MLnUiQKfUYcgV1Gcxz,GT5GXidsJ9MCpcU3otEBki4HpqSNdjgcGeXcBwu7cfoB,1.1
5sSQ2LW1dCYhyxWqMAYJ3sAgSVpPzs2vSM3LEhi1rrtyGXZC3V7GqaSN9SkpGbrXNrixEk1mr1axarfSYvkByF1M,GT5GXidsJ9MCpcU3otEBki4HpqSNdjgcGeXcBwu7cfoB,Ct8Z4aJFiBz4AvbRrEWQhgMDC13icSh38rYUnwkN6xnh,1.89
3b7SYyBvg9vDuCkh9zPTgA7rh42dXKw4iJ39TTyH9cJQ6bVM7RyVBU8WVEPGfsSMbTJLnEThTwEBmHfPRjhtf9Ui,Ct8Z4aJFiBz4AvbRrEWQhgMDC13icSh38rYUnwkN6xnh,2KMRs699r8b8j58BUuD4eHh7jJ7uJWZBGjEwwfBM5ew1,1.7
5RmFKtiD8ix9tvKa2ThMDTeEk6kF28owrjPnydJTjWbRgBiXsJVD8mtPMK6EHbTRpMTzGSUyZ6VE3bDJC8yni6pz,2KMRs699r8b8j58BUuD4eHh7jJ7uJWZBGjEwwfBM5ew1,FPxcQj8b479nZohut2x5RnRUAa7hULWVjVkFADGUqmBa,2.9
5Q1v3hUzRBFq2SQfpeWvNfqaXSPfcFL2QEYJQ1KQACZrrQySvrYevjsJiij7khSY7cZd9hryuawAYkv5zo9tbUpG,92HAVieUHnWN1iBXiMDgKGhqEkaKfRhD7h92qisqGfRp,9x2AsHm8gWZ7wumMKxDvf4aZ2eV11UPRK7Wy7piXWHAg,0.9
3iXPHcJAsbiFMmuMnLeEGgEtKYK5k3LL5q1s9RNCrMv148KmR14jF2jdERCK4o1G7nDVDKe1B6WRJ2PJvHhNpUA7,9x2AsHm8gWZ7wumMKxDvf4aZ2eV11UPRK7Wy7piXWHAg,GFS2LQfZXaYPKHxwDFpbZfav7FB2mxyJKaECfz7BEmRy,1.05
EutSrcDiyv13Z8Nc2GALeQC1sPx8p2852cj2k67hV48eebDFcCizqQHTopFNHZk89kwpc2QDmzMsWVxHW8FQF5E,GFS2LQfZXaYPKHxwDFpbZfav7FB2mxyJKaECfz7BEmRy,7qddRoCAHLitpw2izqgRHvUWaM6xDR8wH4FqHTZWmaw6,1.805
5vfwoV4uerjhf4VNRKVCTdx1qoHDqU2MEVDqiyL8gWyVPKYi9U1JibRaZ1Bt6Jr7cBVxAnndDku8Fwbw3ksJWevw,EMvCBPoTHiyaRreKsiD98f77RmqiGbCYdCY915AdWZGD,9nQz1bRNkTLYFqm6o3RGrnQJsthrNfTETYyhx74NuFGn,1.2
49fhVjAKCxYWKvshBpA4BHaEuiFpz2fGBp7xbXjGwXLghdMXkDPQoyFJvF234w3yJxKSUQKb4Ry6gPnD8GDZFWqc,9nQz1bRNkTLYFqm6o3RGrnQJsthrNfTETYyhx74NuFGn,7qddRoCAHLitpw2izqgRHvUWaM6xDR8wH4FqHTZWmaw6,2.14
4womPSGKteSEKELVxZuLX3kYg9NR3MK6eqaxtDP1QfkcMyMHb8EujvsiofLiCd8voVJNvLYusmPS9dU6xk3oy19M,37ZZa2BhQY8cTPzCJ1xyoxP8WEYXSTc1fUWKDWwp6Zss,AZEZKf7MnGtaG3K9p3krK1B2sTYWHq5JEdYoUnDtPh2,1.2
4unjiCj2EdHRFZFZ5ho3bEMgvLQmZBCkmvT6a4xPekTUM6xMRZCKb2WxXG6YhjzfHbjwi8ftG4WkD7RYc7UsbQRL,5u8wB5jTanFjJww4kqBTDRZ8vvYE35qhMawLCEp9nBbP,F21dZsAGh9zAVMFxwPhkNiMA6bFzzqudeDvBrJ5pxVW9,1.2
29YtgqG9bbMrnDPG5ubuWtjydQTd6rXA8XqucrA8KhbePe24V74LqspSRGP6fPmfEQRdAgsqvnN5JhkjGmr3m9k3,EbwYGdWpPUroA5aBv7NDRa8UXdMNo22ttdmMK53QyhzS,GRW31NY4s93cuZAPYkSTXUctCXqay1qq2QT2g9o8UPFQ,2.5
5jok6mYfU5mBBfRexcCgSoo7PUGtrxcP46aGkQ5bUZZ3KHDq6YTrhwtiK2CZG7EmBVzxAaVA7s4erBBizGGHm5Nz,GRW31NY4s93cuZAPYkSTXUctCXqay1qq2QT2g9o8UPFQ,CDbzmpxkYqPcLXh41zbWeUR7hknRtEF1TsaEKz9KET62,1.55
4H9mPHPysmEZy2Hjrcypp6fjS5PBP78CM5tJp9vt62YxAVedGCHFyRmLHJGzmU22qveMd5yEHQC3FLmQp9GL7nb2,CDbzmpxkYqPcLXh41zbWeUR7hknRtEF1TsaEKz9KET62,9GgSEo1AQXKoLXHVJKWu24vA2jB4uX13xatdMvoiegXo,2.19
2sdm12Jvk8jbojE9o1P137NwBEBFm8AGm2W9EVuVf1xFbyFRSKgmSWK5nV7tTt1fTVKZe8z837Mzm9zYtcDiVKDN,EkWmAD2Fyi2Y28Rpapq3472YcCxsDc6wreezKBXy9zDu,7t3CVnL65rXZU6iHr6HqhM3uw3re8ftPk9Dh9WB59u2N,2
54hGLXcRJLD4rRiLxqWsyyHxRiXGGM2PCsjCmpuSFrg5ZEDAP8tuqCBvHjgvmY5Tvmf7vYV8LsJVLqM9PD5Ufarr,DpgPWoZRqeyr6oobMpHyg9opwq7keLq1DqMsH7VS5kTM,5kdE9Uty91Dqk1yaPeKtBnxYA13rQPow4Y7ZXi7FzCDF,0.98
2XS6ioq5YUsHNBoY6RSj5jM5cQfwFuvpYdyCuknCCMvM1paDffAygTe1rgvC2Nu5PpvmrFEACFJjBY22qyye2bHh,5kdE9Uty91Dqk1yaPeKtBnxYA13rQPow4Y7ZXi7FzCDF,5sYKsvKduycUhBaSJLcUxS95Pai7hM68fLzf8Us2v46F,1.9
4jQiGM1neRhcbnR3gLJjoKcaJnNk6JcqKKGK2HgGwZ7ts912wiWAvhWrC3iLfBs1aUWpuf6caiFHiDya954LLQ8u,3TfV43hkJCC5wMn63PUzebGxQBNjnktkDyyh8gNuqdXs,5MHMLMYX4SXxPd1fE7W51fDFisZ48MqygsPEzz2KjUam,1.19
4aEAE1BGbsLhPjTdyh7Vu6dNdx8FmFtARwgi3JQDp3b2pwqMokGFUVBE2EtP8eoqVDmXDw4XvYBh8op8s7yA7epm,95EhsXZCkYmwNG4aYwgY8sRpV779vt9od55URmxW1cwo,aUcp5yWyuvUyojPDeZRg1k1xxmhTTo6KQGUCpkNTz5w,1.09
4em1tNdoN17wdP7hjPar5DhCiEaTvAcEPyDBt3dyJiL38KSMiSMDTxXP5fcSzcQ4F2x5fDFsxQKkc519NyvFG3JK,aUcp5yWyuvUyojPDeZRg1k1xxmhTTo6KQGUCpkNTz5w,Xwiyv7EeqkjrfgmA3n5LNdU8GFMYNzYt3R9TcN7QbBJ,0.8
5pPt3i3rtT6HXRTnNgSLXKcGtCnrgiSambb23uzfJCQn8BiyuMDKXboY1xMjvL1dEq9pdZFgPrXakHgLvctPd8qG,Xwiyv7EeqkjrfgmA3n5LNdU8GFMYNzYt3R9TcN7QbBJ,8otUgwe3acpCqMhCWYsq2eS5EoW8QmCvqbMYyEiL2pfM,1.3
