hash,buyer,seller 
ckrL5hbqai7rWLDjmV2Z79G2P91CwKjGjWjR64RJ7jBpxmHF6ES5343TXBJUkUrxBBbEtdoyNMb4RE7kkK1RC6S,A3xQCkkuq3NAFLJoTTKV5VKQcUJAq48YgvtRz7PiirTh,DwKJswEYu5YVU6AHpkwwC93rc11yPD9nAUSg6rpGwWy7,2.15
5VXBGgGg7UQkaT9SRmLPF3FpLoXfPKRutom8komY7WNmnHUVBxyrXMN6ZeGSE4nfmPmLFNuwwt54FCCc63qFmPvn,AtgfVMHGvrZof1nArwQDT7HU3jqdTKPa7cDfnSy1z7YU,6hbVPsFgAQbL4bZzoN8srAbMtEaj5c4FfKHSbpTqEts4,2.1
5U7mWBZwi3xXrgneJZAY5yQrLnASpK6EhucJ2oVWYZaPmMXUcFXxDZ1qUygQfdfZArFPa71oykVDBNjqdMeQBai2,G9teoMJFFGM88xFCirkEcyqoNn1PJ8mW3pUxKQAWC8q2,86HjZwnr45o2cQR4i73opbjNFRKdXUhvmoNTJgJj3qGm,0.9
4LXdPFZVfus6duoga5HHu1UgEGeakisDpp5tcRUG8FNXKVTphySRC8gC8wpu137kcdEvzP1WREhrPyseys6Kcn5,86HjZwnr45o2cQR4i73opbjNFRKdXUhvmoNTJgJj3qGm,8DxvzmuxAkfWUaCCbRhNk292shzNbf1FwB6BoQQcJZhi,1.70204428
33LuCUcBfPvnchMXThgD4guQXLaXzupTup4DPtVMN18gPQcwdk1yM74J6Rm3aPXfAcmYT8u4Azzx9yDGDmdqTa4Z,5JQZpgEBqg9QUHJ9qH8eibJ43nXrQxkvsGWtBtxXSe8r,A4gJMpKbY1gHc4keEM3d2HGbWZTKG3F6yVMT4w8nCguj,1.79
3ZrSkYYsu3YvQXFxUHThBcVCcbPAMAUgqjLHftGRCfhv5ULj52ANXgDcVwCFVP3XzXdiKqkn3sbsoe56W6Uwfp38,A4gJMpKbY1gHc4keEM3d2HGbWZTKG3F6yVMT4w8nCguj,LZDDvrD74R6kKYHXh4N4V32VsRVjQ4c9ipqhQnh2YQB,2.18
wS4mgJKTxNBfyyaKaCUsoLT8GKehP8vWzCXqnEHcdPiHVXGdbUnpe2xVMPKWjffqzX6HSiDX2CDCEPnkTLRDVya,Af61F59nhjUno4Sm534xTwGdk2Q92vQb6zmoxz51Pq92,HBwo7caRLaTTfqBJzELPAV2WQUSDhBpA3eiMAF8Xid19,2.4
126embisFqq2XwqPeWfA4LbfCXrcg75bdfKbXXAfqQj9sQiTSCdXUJdnvGx2y6zD3BPzQePeYDDMfRySLqTNKJHf,H2bCgrvETySHYdd5es7RZ7yKeFxWKgNmrdS25jxgo8fL,DwKJswEYu5YVU6AHpkwwC93rc11yPD9nAUSg6rpGwWy7,1.888
3JDLgpC9dy3dF6rrS92WCiPNc93wcey2ybrmBFKsnqxtgMJUcXcZ4yu8UgXKKMWbYpKbHBd8zQRd2Emqa7UGg81d,BwfWJ1NxX5vBifv4bz7EoNMgQinMCbR33s9nPfnGVQdu,BN5P83uY3n6SP9NAikxEZviki9QoYTUiEta5XBu47dWY,1.3
3Rt7vb6hVG5GA5EqvsisvnpMbhVbU7khP5HrjtKCmid657raC33izkNPCxRLNhxLu1B4zMx9wz389LPfTexQvuG1,8BGEFstfGPoEyU95LaVtgm2CLxAPHCcLssMcpp8QTYk8,BnUzt2ZaiWbrgXBb9mSRh5BUgyMrFuXXYMYoo37BRhHX,1.00204428
