hash,buyer,seller 
4YEggrPGwcvV4DgVM7u2XN57VjwSq79uaYBT4vkUg94R3TJrMMSDAaaNw76YPWkw8QRaAc3gpv42V9eJdDM9ugsQ,9n7yoLyTL8KYuHc4qTuWrbZFTn6JZBEt1tRoAjLa2RAB,HziycdVKyAKUCLQiTwqQCcBB6uuU596U8nVE1SxbrPXJ,2.9
4GjxXwtMmaE3Woz6TTdFXYMGUxixGrq6UE49v2BbAd8u8ZSC26agaPdx2jA1E8CqQdLmrpwzj8TpRSYBr9XXhh5e,6nyf3iS2jjd7bhC42EG9WC9MnPb8VHKxS8GBe6Sr8coG,WfL42wDpJFs5GU8oygcWnygZFBZv4gVqGmzQiVDTgDq,2.89
e8FN8Pue2hPyJDd2XKX5pvUyWRMT52eXrbzYgxjnfMRCTmZP9KbLCZ2Fz7WWy8tF2abTLe4ynoiGgourJv41sgK,3J6VbAt5ZbtCPmrb4WYKTZNAxm4P1keQFQgaBgjYvEgY,32qgaNV4o6LZUwVk3UB2nG4kyp1sTsVcYfzux2Qm6jog,2.68
BrdK8Z82DeMY1pDQvaNRNRFZgV6Rum1QYnXwMQLPXBmJjELTkeUbAi8hxHDH6b9M66y9CHMJciv12Wgda2pCX6Y,5gK9y89Z7LB3Do18UzmxDp2tV6Nd664HEYJTcrP1QN6Q,EQrdgE3uotUEvaPY2jdE5uzmzNTx6hHKv464QJniW2Cz,2.7
2tKEyktAaFAYzV9PP98gLXJTaMtiqwjA9FbtFQ9CuWWUsszXbkYjoAUwLu2j8HnrDQGpB7ew2WFDVPuxRAUddNvH,78UQt6dKEz3E86Vk3cmdUjaRu4NnBNcsDedXnbQNBkWR,Frw6V23yLwBh7LszWjctURHFajdw3VcHJZXv9gfBQZfS,3
4hqzofETW5CHFazuTa7Rei72cs2ST6N61uPyfjs9yPH1UYCGKn8UwuHrq8LVkrZbrc2f572Z2PkVjk415PuAixi8,ALisxk2irDXFanVa9tJ6W8QYffg7Bkhbw77r7eVQQfxo,kcjyPw4RKQioZPbxqfrVjsWwbj6y61AVDLUtHfS9bNY,2.7
2GpwCzAkHm5BDcAtmVNWcN5pPkQUZGDGuXDwPdaTZ811xGkhWjxoho78naW9AJXV6cr8fZHriQXYQD5oi1KAcb39,Bnq96LZTjs86m47Xe4c5pxq7yTAHHeNfeZMdWLyn25LR,221rgS9XvyejHFfYGyrB9RJhXXXdn4jJTxwCh5qeYDMM,2.2
DD3YDRPde35kW97J38GqNKrsUp1kW9rZo62ZRsxsk75oGXPHQ6XDTZEtDAfUj8LeSP6bfDPMU7th4qLoJt5hYPJ,5xbbGcKbjSsaEjZ29GeoBpxCnmKu7d9wTKtVgMGdEcXR,DLU2SkEt7oSPmaGw1WZLKwcbK1SXWjffiMuC85ALJ6H7,2.5
2RFifMStzoYz9qZMAKrinr2aRMwuJHy2ngLUrJcjrL3XVdGX2HVP88pfsuqsbBVvjQ6wDZJbfZkwzFiB3xYkHBnZ,A1jWr2qzXhbYH8BgYjo2PovY2YFYsXdzQCVujrNbZkPe,5bEb2ZymYohMHH4xjqYD1n4fiHPgHkbfRPQn4a2256b2,2.4
3oqFy9V8M9C4jQZZmGxnGhHEdgmS9T8Y2hVVLffeiDeTCKpZVi512R3CompE5AcAwDz5NZApaqVQb8zdCqa3ASXA,A9CGc9TWZczKVGgQTVDMDCr2ytWHMni5wAZgE9f26sos,4nP7LbnxBkR3UrY7c1fc4gnbjU7ojswHTZYQWVGMuduk,2.1
