hash,buyer,seller 
HvY1wbP5Vrz9hfX5XU9ygYy68Xp2NjPAgg9NaC3e75yHY8GWGW8VJCrAfU2ULWjWUAH9aVJBij4evcuSYwUR13X,9SdpdjjxSaMdopJNDTBPs4XUZmsT66aDhk2QBTndnjbU,3GD9GdVi8RyQtzfkhuy4GybFj7SieWNb1BsSzpgg1kk1,15.99
37K4p152ieZ4BaDMbBsFiuJ4PqTXi6sw7jpZb2uq4tPDTB5MiC2fou6XG3Tn88us8KSRWSSK2qobst1STeuXnqtR,3GD9GdVi8RyQtzfkhuy4GybFj7SieWNb1BsSzpgg1kk1,CwrkooSJw6nSbn1m4crJqnJrhUVibHteVczcMbWVAqZr,16
2PPzKrGcEkKJDyTydCbXCC5H9ZK65TydRgYobyAKLpXkooCury2ywLsJwpp7ETgjds9LguYeLpneAn9CJZXN2DCi,2F2G1Vz9SdDt2Qn15j97fEGtjdS5R3XVK2PCciWCsmjd,AM5aJnAq2E1Cjp33zFPw2Ri5NhSKFJ6oqvZ6T5VcZjd3,15.5
XnjLha4k5kuR42uwqpE95ZNgVdva89CLmw3dJC4dA8wqFYxD5Fit8p5MoAoBMYsvjx9B6SkQdeZg7tZdcUyN83v,JDKUsuxGoXZ4HQGeFaTK2jdddKjeJ7yfE4kemfZizNgU,8f31Tsq1inXQqdsGMbkFZcaLFrYyLBtco9uLsnULPskE,19.99
LRAUr9BG4F4Z1ijyGyhnY5eDh93EhTPa9FxqNYYWFFfvYRPuu3zqBpUUGFMngRqJjYqCZpBb8sNr75kiwN73A58,8f31Tsq1inXQqdsGMbkFZcaLFrYyLBtco9uLsnULPskE,2xcy3ahaksGzqQL6yLda5bBSXPLWp23mRHbw2YCTsEKh,17
3XwudzmNfDDEmeT8os4faxSTpnUwEiYtn8zdYunTTzaaVfjgYD1gSxgm8tdDXG91DWto1KBE5WFCU1mxAGDpTFFX,2PthK98w4YDfUUJUMC2j6QFBo9txdE4wbJqH3ctbA3EE,7sMYp86jdmkGEJhShd7JGVnwdHrHrr31nZupm2rSd6HK,30.00204428
2T5svhtH9fMss7Px6LcrekGN6DpuBbeLswUch5Gi2G3NUQHMbKLtXJdpsGnP1BKqMhxKTBakmAyxcNsBEjUMBzrw,DGTK4bKZiusXJNAoHYjZ4isZfPHKR1YRaMf9PzeCeMwT,9hBviAPw5Jh2Tmf5xUtfcnyKoqFYqd7nDLcMJ5Wnbf3b,18.75204428
25VxzYDuCa3EsHG3drJMNFC9DTkp5AfUNveDp2kjeHzhr14d7ca8C9a1ipyDULwXyD8FYRgP2k2hfc2AW54ddfe9,WH6jpmUTve8g6jjNUNUkw1hnATNXdqNK6LZF3dh9jTf,3uA8BsWHpY5EGsA8weA5nu54zzAvnAiDmc4iiWdbrAmx,17.25204428
3SNTcNgbyXZck7jprrkd6VgfS5uqAMkGKZAtNT6AdVkzYjBW5kjBeNh44AXkUHiN8CfGMve2gJjkUmf3eHP59aRq,47APvEhPcL4cmCTTcTA2otctzeEc9fLwBvZXNJnesFH6,DgNo63X8E8fLq6bb3BHMidfcWxzTWgYzFAGNpx8UZ6oK,15.002615
aKjCjeuRY3auTSv3eoV6v9pwBFuCg4dpLvDHYfV6fAjnLVuUcYoSE5RjkLuDzyAVPpcZfiXqtLUPMZVPmSLGj9g,3uA8BsWHpY5EGsA8weA5nu54zzAvnAiDmc4iiWdbrAmx,E3QaEWSarg4GLUk81bEhExL5AFtnUvaZBtkEDxF2tRz6,16.50204428
