hash,buyer,seller 
656Ynp1dRxNsqmPYLx7wgPikamNywRizQ7YJVjd1nxwepCQ95yF9Ta3rqnDqLxoGovKavzzDE8Hd3eGQ9PBZXLT5,Hf4sQAd2yC5FmyEfXqEJiJLXtRiamCJnyaofXUgn5WHc,FhUn3tXFN5JrPvkULt2xB6KR45ar4ok86RScN18C8PeU,25.5
3dX84uMCksa6zK2JwFJKsk6T2ChZZ6coUG17x8vW2hoisghLooeJ7EhRdZh7C6H1g1WB7ZY9WRqsJjD7w2pWyZZM,FhUn3tXFN5JrPvkULt2xB6KR45ar4ok86RScN18C8PeU,8EmSKtepQJrui4zQZHUE1kRneJdEgGyRVbfsc4NVGorr,14.3
5rPvqALMkaivn5Mn5MkoEQFFPNGRJwA7wD5Qcb6ktQv23iGEvz2a7UQSCFpGkYUXxnWdPheqpE5jATuqq1cL3fQQ,H21UbehGWg8egNgarFrKkYdaq1gAujyxPxsDbh2Tcgbz,6qQbbCLw7osuSLGBEkZsh6KkweS25vUBmaWmTvArkX67,24.4
66TtmgYBCFi6Tea9WaDTsRAdMwcvkLYM2aCHbDQQTESiHZYLUVzgVSHgu7fpydfaSmmMtz2A5Udvy9moDHZTVvGf,6qQbbCLw7osuSLGBEkZsh6KkweS25vUBmaWmTvArkX67,82PjZzK36PKYx4cCAKzBntXv1MeX6NbTzpASoe7yiYAr,13.8
4LKKebsUxLKFjWMQPUow6NnfAGFUwhm9oAJcuJBNuo43tzDPQXrrRWCGaXQNAm4FUEMmK1TzeE2RTi4b4s4PxLis,4NKxxo2AxUSoqh2YDerChDaV2xSSoY8cVKgBM2SidpAf,8TeymQz7HoxvgW7aV4jJNdyGvZLCiKP2DQM6Ug4kDzBB,23.9
59qBqJJP1wLoqaCuDiEmktEs1j2kWAHs7xBnC2nyGr6FBnrrBCpTo7zQzjuZaE2b5VjoBnQPdNR8oo5vXU2EzepS,8TeymQz7HoxvgW7aV4jJNdyGvZLCiKP2DQM6Ug4kDzBB,C2QK6p3mUn4oKXan5uVFRyFMnzL5YwoP4fs3vWZgtiWY,13
4CZNr9bePJoCrNGpRmY2qJ4jdgrvGMuK1r54gkEjDZyVHSa9FKQQicbqjvhqnZrhkBY6A7eua8Bu1oyqVgzskTPf,7PNq8geXzndEEdwJ9ymTizDxMDKbUBMkMccphE1cu4s,EhGeqynjCh3MAqr3imaqBV2NPfCTMpeDEJhUmK2kfxuz,22
2sMBuzxh66tccTzvNxcpkbMMRAyxSFjnRRmpFEaTTvxVFi4wjprp3b5mjiAtWNBvF3ZgmXTzJG8PyyYqZjPnwD4d,355ZxxU6CZyBNREQc6JURyhcBLkMEkaMbVitkeuQDify,3L1rB5n2qvHhPQJjmneFwTrEMnHkGo5StqFg6Vj9EBef,15
4kPrgKaycqqwCFjfgydwrPX1ZxFbgiU93gsqYiZvyvFY4qL59V6SVXLDABXzGPVLqm28i9PWf7wbrT1HuxcgM7qV,2AgKu1LCQbJgpz9RFQeyGLopPJSr1QNG5iT75ZcpLMQ2,7dnbELwFbzzQoJF8NyC7gdiepcLQuympS6zUfZ8eD63V,16.2
4BZLTzUB98M372vNxixFRYMJLvaEjpYwSzpLqWixsUANssDiTDf5MLFVJN3Pwyk1yQv86TK5C1E9p5LmW3x4Chr4,47xqDWXG3pn884XN2UatY3G82jRLZDYg1ai1Ufnjm6WK,6YUF9bvmbYSVopieXE7boHvByDP9U5ERJoUP6NfcpP9t,16.4
5AZu6iSjZ32vM1o2p84m8x1WogoJPtnTfqb1nag9TFFJudewBhCJEsvqDbzqqvkou38XjbEpT9AbFcC8qNJ6L1Na,6YUF9bvmbYSVopieXE7boHvByDP9U5ERJoUP6NfcpP9t,58n1rJVzrY5Szw8SLKwXSEHYzxoZnwjaK1kptxsA8Utv,15.98
GJACp3BCqUVSLxZQFrFN8WWWfE7UrmvVXiG4jNpBqvRXXpA6LQ9mxCkShqyvCE1YUfyDQieGY6kYspMi9yGkNq6,C96PUxdcnamdf4MCFmbvxmAKMou3LFjDdQ7Ke1WzJcMG,2VpW8txbkNYD3o8GZPv4etRmDUQUjuhPTy6nynUKQ4eK,16.97
6194VA9TYwRT8z4SGfYyPKQHtGAvwDtSu5Hpoi9MWX2nbHsWbopRYnvbQKE4QBRsP68HRRnEMmfnF7edVP2YoEur,2VpW8txbkNYD3o8GZPv4etRmDUQUjuhPTy6nynUKQ4eK,CLSnrGHYuHgQMpntMM5RHtYDo3JeEb77tXruwT5c38VM,15.88
cVESEzZfesYC6Q4kWN2pDzFtJfUELVUKZanXqkAwT7RULavs6B22gQMpsopAt14Z29zv63e7LAY5YBAUxHwro6m,13cBLwgngH8Syvxm1D1q5TXsr79n58VvijMywohTEvRt,FBwndhcPHeeyBgkQC4EJhUBLBhgkG28U96BtyhowVtC6,17.49
vfLss67V4r3mFEBsmih5iunsDTb3chg7bZ8SZLZF5aLwgKTStjzXcUefEP5GppB2b6Bu8bRDdzNX9Q7WWQzmdLa,8feHfJ4HANJckeY4bzAEGazqmNBvxjiK5YWvRH5hZeo1,LZDDvrD74R6kKYHXh4N4V32VsRVjQ4c9ipqhQnh2YQB,15.87
3jfBjcvrkdvvXT3tQP1MwmdpCwT3u6i3QmbmgFpuanrHguCDsRnUvMP7UZjCWXZkwwbAKNsCKh15CMJ6RjcjXpMw,47xqDWXG3pn884XN2UatY3G82jRLZDYg1ai1Ufnjm6WK,7cqojQkTSZXAGfTmy34gaELbMqPJvfDCvxLUHC3kF2EY,15.5
4yuqrA7sgb5HJVPwL1p9B5QQu4Tv6PvZZUkcnHezyNxLJCRD5mTGnYzHdwzhfvpW34AdLMwtQeeXxgXbndeWvyin,BKFmmGwxSskCYu1Ef6WsigfgfVZe6gkVmyhaQL7qTpea,2nUpcRLixxa1uDKTu2uqiT7HX5nYj3bnpbLXXgHw3VDj,16.99
3aW6H1xoEfeZuE8eNnDkveeNaSiF5riDGMubgBkUPn5tpoZAzfGRWQJ8uN24HrGcrVJsLZtdNXXtYXheoHny47PQ,BKFmmGwxSskCYu1Ef6WsigfgfVZe6gkVmyhaQL7qTpea,498sLAwf87KKuW3rHeZLxerMZ2REbQsCtFaDcxbPT2ii,16.5
