hash,buyer,seller 
66kkcSZxDT6ddM6wXk6yCNqXgKjrgpTApXbnmh1cxPKzU5zLqm2VLszTUWgjb7EpYntKdBP4NKTGfEGpXhMQ3nGD,Gosu4yLAQ2kbKvVzbvon7az5oKnkkkdSMk5kdsLsmFsw,DYuMvCX9VgPmXB3p4LqscbwXgc2TeQHjVYq8PC7gDJ67,7.4
38eGBqggk5mTto2sjrTEoD4z3hCwGGkQCMPE3fPeLjqMixwN8UgY2VuGLGot7TPCns2MYbEpd9dLCYpCUEgGQb3Y,DYuMvCX9VgPmXB3p4LqscbwXgc2TeQHjVYq8PC7gDJ67,8ueyaPXydbbpqQjqUtdTajFauMQznAo4cshKrc4BV4EW,6
3r8s7S3ZJzsJMFmUSnA8y4pis9NDe9Lbq2h1L2bq9MaXYhmywEiJdn4Kv54d3TzbB8ZYx8tii5bjSe8Mx3iLbMAH,8ueyaPXydbbpqQjqUtdTajFauMQznAo4cshKrc4BV4EW,9ff2LN17bcsLn9rqNW58UASZ99jeypGgwwEv8rMfn652,9
44P5MScVr5Wevfor5zupKKyrkU7n8bEDUDL7xF6TkerwJMNFwj5VReU5JkCddT9FBCaJj2fYV9vpmKcpLwXzDM5Z,9ff2LN17bcsLn9rqNW58UASZ99jeypGgwwEv8rMfn652,2eVrWMM8Gt5y7ZEJpvckjqBNQGm8jwPWQPG9cdvcdGPY,4.88
2TeRKBnjLFBBW7ZncCwYKggPckvXEdykZdi55PQEsdzD4W4Urf2oBjor3vbegHvsmy9WduJ8iNkpRFV43T1fpeGz,2eVrWMM8Gt5y7ZEJpvckjqBNQGm8jwPWQPG9cdvcdGPY,4x82Ay1x7TW6dKWXaYcbBrzRbfd267LHBJnab2YFigRu,3.5
4Wh7xBkgNM52iyqcv3QZ5R255xJHQUoQcT2JzSXa74TD7g5PPHfDhZ6nfjuMpRxjNm5E5PL3MiPkEYW4bthD5brE,4x82Ay1x7TW6dKWXaYcbBrzRbfd267LHBJnab2YFigRu,7Qhm9WGe72sFUGhS3EcGnvxB4MHJf6SxpRdRBxdBRu3r,2.79
24MAWPPPo4fHq41ob5ZQPDceHjTdXTuexVcQQfaefcHd1M4ThfutZb5qYatvVTifF7k1Jz4C99hTnDHPDPDE9w78,9tgpwTj93wM8UDXn2ff5ZTBG4USNjvp4Mn6xHZGjxtF7,7zFS4C6mBDe6UigKSxYGio6rDdBvkGSZFgNZHTGhC1u5,9.5
2RLk3oT5vAQmNMirqC9Jxa92YP4YpotUb565eXNj8q4xxDU2gaPCW9mutnUKoXbEFhMsJatognnkvLfQpMAhayBM,7zFS4C6mBDe6UigKSxYGio6rDdBvkGSZFgNZHTGhC1u5,8Za42ifqjV7uTov44cQfKR9NniqQZWSNT12KfaciV4rN,10
3W5zWBxbiELEVedLa5UMxXmsDXcVGDkaxJcVs6tJd6UR4Gkf5cXqfWU7MTZuDaASqYX1SAQD3e89e42UpGuQT8ft,8Za42ifqjV7uTov44cQfKR9NniqQZWSNT12KfaciV4rN,8XP2q5EJvDivxVYonYbgtnUhGBxgcXQEaDmheMJQqnVE,5.3
55Eqx5wE5kAwjJeBbFgqBGZ9DqJEen7CxcuhBQ9Tq6xdf7oeCziCij7oMJftnqzd75FT8ao6TxMxrnbsHLRPf2NF,8XP2q5EJvDivxVYonYbgtnUhGBxgcXQEaDmheMJQqnVE,3sLE5hSQsJqrGNh6HcUX9vF24JUNAqYLfWtk7jdikMFf,3.3
