hash,buyer,seller 
5NimmZgbGmw7Mn2JtwgP6W6woGiUYrmpsppuwCj2f4wH41ppQou6LidEw8Tq9YGPCgc5G1Auyv3hJbSJ1rC1Bhfc,8JYPu7GF4t1Htx35HFeyXmmTwqffat33mYUj8qvxLFH7,Wqz1rkJyTjYQZZf2ToV1jVXyhUPaWWNdqtkYdF8kN3r,0.7
3onu5epLaNDG2WP7gcwxM8spxQhvbRoeGagsavrBBKcuAFkioStLzohqYckuVznpCD4Bd6TafAAJRmvEWEcQyok7,Wqz1rkJyTjYQZZf2ToV1jVXyhUPaWWNdqtkYdF8kN3r,5E52gi3f9M6uoiBdTGnVU94UK5Ydwk4pSsKXu7zebNBc,0.7
5JLb4Cuct2XfEDDrXnP5yrixYFy1JLWuSwHestsQY66SgAFdfX9pxsVHHLmbcsd6c2of4uNwNwoZ4ssbqRyzXvUp,5E52gi3f9M6uoiBdTGnVU94UK5Ydwk4pSsKXu7zebNBc,4PM3JY3JHskCCNPYZdwfWHbkcqxf6E795jRpDNfD2oS1,0.45
5rQqQ3GS1i6kVFVK8ZNkEnQp9PcrdTA3SVhwDwGtv9YogtCCLrVyQqGKYaMcGeZF9ZaMj36NVYikFMm3YVmKiT91,4PM3JY3JHskCCNPYZdwfWHbkcqxf6E795jRpDNfD2oS1,DY8LHKDXrvD2vASJS2ghxMMcS1JUL8csRdC3tJrbgbFh,0.91
2nSdrEYAhcM9p5dcy62qoUD8nSEwzrMggAJrc8ZvAiY4bczUBUCp6vhLJ6GWg7hu95JJktxnBJ5NZXszt52CPwmq,DY8LHKDXrvD2vASJS2ghxMMcS1JUL8csRdC3tJrbgbFh,DHgoJRFGV5ghBretHjX8NrxFwhd2GEdrnNnWEFPt9yR2,0.46
2qJpuwBAbDxFbAqmG4aKY9yEfgvFFvQJZ6vtTcUmr3QQE8mAoYAZCr7hyPSGu81J6pn5r1MPAQVRhgFvTpktC8oQ,gck9ZUfnZc1VwyC16kcD2c8e77T1aoJKhrHtBKXkjdw,5WD2Q5qLoSEfkUmonqJw6LqNQe3huf6hvVzff2jyzBve,1.5
5W3tBbUyAKBTm6rUuAK8wnbFBwxgyAKGwxa54RWZ4hD9jNLuUja1pB3nQL4D1kcvbqP3Y9q8SHULVYKJ7rrVUywG,5WD2Q5qLoSEfkUmonqJw6LqNQe3huf6hvVzff2jyzBve,HWtmxc2fbh12AsvGbZQW52vdG1hWBtjMKv1wFXm858sM,0.24
5VB9tCUBaHajhS6tamCdsuHqkc57pP4my3c2TbpBPuQDiAudyLwmDpLHtqKemSyKK18cyN9zzNpJKwjzy1oLeLk,HWtmxc2fbh12AsvGbZQW52vdG1hWBtjMKv1wFXm858sM,GzggM31x4PNHcZSYKs8GuTBiPfVdKPGvFPd9Yjz9rkW5,0.6
2gk7wY8BhzK3NseAaXie8T1CkB5di98Jv9TKqQxs7MCqDvr77RcnkQnmcUiwgYsZhtLhnSiRJwf5Lu3RvzYCurhW,GzggM31x4PNHcZSYKs8GuTBiPfVdKPGvFPd9Yjz9rkW5,Fev8WJAfJV2iRYaGJTbyMMBL4KAHDrBY6qXW3qF9HRRy,0.45204928
5HWhHtSbuNqPCFvzfr9BarR39w5vmPALKHzVGCWVZSA131qN7n2VhnYxUxDjbTFNosH3cDsRKdLnHzBoQdQw851,Fev8WJAfJV2iRYaGJTbyMMBL4KAHDrBY6qXW3qF9HRRy,6d4vvmsfncah6fU7F1jEp5jjgqdRXkKszQRKvpr532Lc,0.37
49ehRSFnK2CHR7xnuqsZvTkihCjxt1bnkXhyG67MhipkeL56xMz9UDxDKi6HREYGUrmMopEyVv78rdEhBR9zn4TY,6d4vvmsfncah6fU7F1jEp5jjgqdRXkKszQRKvpr532Lc,6CS2ZZXazybdVGTRoeiLde4rkKjFLMy54WmMT4HoGc5X,0.9
4M9s2pjcC15ZTXb2WhwL421f5yRaVwihvRvX9wxpoPF6fPLtYE1CLaBcHmQHcVUWZf4EhvV8KCHqa7fw7F1AXzdc,2p59f5LQ6naN47jNMYvEDVGkUjKM75vPPsLLdZiRe51N,AftF5ENpjEd3MteuWDSiNDnhU8sVdfYWS1aayQqE5ZDo,0.35
52SRJUTWScATtsfiVV1ffpSnRdnG7kznPpL6hLetYaAGP27VQWp3DeNFNzXEYx9gyFnwst9AARb6o4U7H1REhhLG,AftF5ENpjEd3MteuWDSiNDnhU8sVdfYWS1aayQqE5ZDo,Ddde2m7g6YE4JrdviurgHhHDZdAgGDgAkmGfdWF3kWRe,0.49
JaSBQx1pyG4gRtSBG2ifoNLCx1axKgJxTK2F5hhoL78s3spDuTjWNkVourTH9r7dMHPFLvTd5sT7LZn8DNAMyDS,Ddde2m7g6YE4JrdviurgHhHDZdAgGDgAkmGfdWF3kWRe,HqS96qteVoT8SdYhBWTBLyBcYGqiLXGCpFaG2jci9BXD,0.68
4UtahaE3WihSwG6Yf3dBM8CdKVs6ZRPHKcsEgr6CDMpcdwb8bm68CCnNWxVVhG8wGvaocfsr7GUG6YnYg4S3MWyg,Hz4dcs7egewoHSKSdcwZ3kncPeGCzVhyVXXNPqibRfX5,cKuWdNEy7Q8SF1V4a1vH6uVWmWqMPRwWWV26i2uk8xc,0.9
5fGpX9a6hiKxDWiwcs8nNKvZur8BPBA3v1ZGZJz6WgCv1LFKsnYw6HNb9k6ktSfjrLfbJKkV6AhVSikTYfiiwu5x,6Q1BSrwaYBE3AyruVpc2VWYv8bz1idk23sRDExY9ywGW,5YwM3jjv5onbyQnF31JTD6Y6DwHgKyFdPmAYPkXXRcMT,0.67
