hash,buyer,seller 
3otWNvbngA4eRHTuSFj6AM392FcrwCcM5SLNTyRV8y1Zeht3x1jdKkQZ9Dh25cTx931SnqRoSEzBGy7UVns1NR9A,8inuDBj31qVzz3LMym1qd5qT8KwKKyHqywEyFWZtkLSt,J9RDhaCj3aCPBBppibxJrnbqL6tS2XX2zx9mbqBvtsnA,0.36
2XQaNvkR1eBoJMdQqXDSbeQc7y2skjcURETfC8aL7CUtidSWAfrFo2vAC5nVmvoZR6LCRJSGzqTXpwnBsg7Vd7nV,FhUzUPxaPNfLg69RVJhKxdTxoU5mKLLbgAuDfivwwYK5,HLuAUzfsvNNEgFoqbreHv7PRrgZp37ADjbspJEWrLSma,0.66
5iokEvoxeGVpCn5BqLaei2kqmmiXz4bVraK6ExZXc76fZdZrzRPQGd2UP9YWKqF4oLzJ5Z2XcRuQqZTekdvisfy7,DvjQ4EhWwy1HwPRxGxrKAaJRniVyVzapVWdinsydiML9,7TfaVz1Dbn4iLVZJ6FmNV4kQdhX7rgPjatCJoXGoNFfh,0.72
3WTs4FEtfhGmLWRs9uwySP8gtuQjiYSM6jt9YX63TsD3Ca6GqQaek4vkz3f8Co7HJ3xhPEnyiCc1Fd7Rh6t67J6b,7TfaVz1Dbn4iLVZJ6FmNV4kQdhX7rgPjatCJoXGoNFfh,FXXJCNUrCLPxzp7mnSVSyHcGRUuztYWpbE1xqgTxNdF6,1
2by34GTsnDemWUGzcQUDUfy5DuZZCs9DPmNMwGwcCkRZ547auFHrf8xs8B6GeucJapTsDTYYUwhnwC28AHYfCFcd,DvjQ4EhWwy1HwPRxGxrKAaJRniVyVzapVWdinsydiML9,FRmi11TzVXYVVyXUR9V3jpjzmUDK768cWUkG2JgjEZcg,0.537
2tCSxsJQJgQvZBy3tAyQFyujnBy381JxpRjA3ND9kbxRhQcUi4kBctmBTKQPoBxfczkT4wxRTASpVRnqerttzxVy,FRmi11TzVXYVVyXUR9V3jpjzmUDK768cWUkG2JgjEZcg,GifDJDQCutpJXciQSjMiYeJTmomYxT777TunT3Dm2kp8,0.415
4eX3ArMgPc9CivptbiU6TUGeUtu2zvVe1eHV7gpLPGGk5i9HEP6k6gpZFpFvo1fF95B8qFTxwd7Hh7si5fkr3XER,GifDJDQCutpJXciQSjMiYeJTmomYxT777TunT3Dm2kp8,82C4jBF3WknFZeUGynpMiMwtxQDhXHWSW3SuFpqAPzDn,0.47
4xE9rb2USfAzVxabojQ43Z87LQy8wPCDxz1ba424hoMRRs7P3sUpRj6KgG1XzeqVihcMkgAetQWozhy3AANoHPfR,82C4jBF3WknFZeUGynpMiMwtxQDhXHWSW3SuFpqAPzDn,E6MyaKxEKJx4dHQdMko1e64MrctuuQR6ML7fLRLYxxLb,0.37
3yxbWAoSDjgaf195AWq38fmLrGqokknBRedh7EiemCXsBUMJkjLEt9Miuf528LCdusMqy9Ke6FEVmcykGkyftbp4,AUtZ6ACaNqvanSjwy4EwTiKJ8egM2TWyKN17oykpQT5a,2TE1RFHrExVEBYwwrCgmfSzgVxDKPEkEpi5Vu5WDtjvS,0.54
3oYdust5YvmeQEm9yT8vh6Sctn7UdGgiD6szNUpWjaZLFqiEQRhoG9AdaVohPPQ5pj5jXoXyYdWh2scMAMaLpjGJ,2TE1RFHrExVEBYwwrCgmfSzgVxDKPEkEpi5Vu5WDtjvS,6gduL7WZ7vNUF6rbfc2wBNL7ec8ZyZXnaQhUGkBcYaoz,0.55
